Certificado,Expediente,Empresa,CUIT,Teléfono,Mail,Domicilio legal,,,Domicilio real,,,Operador,Tecnología,Corrientes
O – 000049,EX-2018-00549634- -GDEMZA-DPA#SAYOT ,BFU de ARGENTINA S.A.,30-68485575-8,1143431301 (interno 1600),mciancio@bfu.com.ar; info@bfu.com.ar,Enrique Santos Discépolo. Casa G9,Gutierrez,Maipú,,,,IN SITU,"Bombeo y Tratamiento, Estabilización y Solidificación, Remediación de suelos (Sistema de Aspiración de vapores en suelo-SVE), Remediación Combinada de agua y suelos (Alto Vacío-DPVE) y Air Sparging","Y8, Y9, Y48"
O - 000053,EX 2018-00345249-GDEMZA-DPA#SAYOT ,MOVILIDAD SUSTENTABLE S.A.,30-71427257-4,2615520368,cmedaura@micobio.com.ar,Julio A. Roca 569,Ciudad de Mendoza,Ciudad de Mendoza,Refinería Lujan de Cuyo.,Refinería Lujan de Cuyo.,Lujan de Cuyo.,IN SITU,"Biorremediación con Estimulación Fúngica, Estabilizacion y Solidificación y Biorremediación mediante Biopilas aireadas mecánicamente","Y8, Y9, Y11, Y48"
O - 000056,EX-2018-01531838- -GDEMZA-DPA#SAYOT ,IBS CORDOBA SA,30-70337051-5,0351 5891832/33-01148713749,sdegan@ibscordoba.com.ar,25 de Mayo 1601,Maipú,Maipú,"Calle 4, PIP",Perdriel,Luján de Cuyo,IN SITU,"Extracción en fase doble por vacío, Biorremediacion mediante Biopilas, Bioventilación y Desorción Térmica Anaeróbica-ATDU  ","Y8, Y9, Y11, Y18, Y48"
O - 000061,EX 2018-00203007-GDEMZA-DPA#SAYOT ,SERVICIOS MILENIUM SA,30-71034059-1,4980407,danielmagdalena@cuencadelsur.com; info@cuencadelsur.com; davidquiroga@cuencadelsur.com,"Callejon Gentile S/N, Lote 5",Lujan de Cuyo,Lujan de Cuyo,"Yacimiento El Portón, ","Yacimiento El Portón, ",Malargue.,IN SITU,Biorremediación y Lavado a presión temperatura de tubos y maquinas de la industria del petroleo centrifugado de hidrocarburos sobrenadantes,"Y8, Y9, Y48"
O - 000065,EX 2018-00415369-GDEMZA-DPA#SAYOT ,MONTEMARENNO SA,30-71137143-3,2615456005,isaias.angeloff@gmail.com; niemen41@yahoo.com.ar,San Martín 670,Las Heras,Las Heras,Yacimiento El Porton ,Yacimiento El Porton ,Malargue,IN SITU,Desorción Térmica,Y48
O - 000067,EX 2018-00360538-GDEMZA-DPA#SAYOT ,YPF S.A.,30-54668997-9,261 3654112,"mesadeentradasmendoza@ypf.com; lorena.manrique@ypf.com; guillermo.tettamanti@ypf.com; maria.moya@ypf.com
","25 de mayo 1088, Entrepiso",Ciudad de Mendoza,Ciudad de Mendoza,"Yacimiento Barrancas y Ex Pista Pampa Palauco, Valle del Rio Grande ","Yacimiento Barrancas y Ex Pista Pampa Palauco, Valle del Rio Grande ",Maipú y Malargüe,IN SITU,"Estabilización y Solidificación, Biorremediación mediante Biopilas Aireadas Mecánicamente, Reinyección de Fluidos en Formaciones Profundas y Lavado de Elementos Metálicos",Y48
O - 000071,EX 2018-00345240-GDEMZA-DPA#SAYOT  ,UTE ECOCHEM RVAL ,30-71243204-3,155905331,ricardov@ute-ecochenrval.com.ar; comercializacion@ecochemsa.com,"San Martín 941, 5° Piso, Oficina 1",Ciudad de Mendoza,Ciudad de Mendoza,Distrito de Agua Escondida,Malargüe,Malargüe,FIJO,"Secado, Filtrado y Acondicionamiento para su Reutilización (Y8 e Y9) y Landfarming (Y48).","Y8, Y9, Y48"
O - 000072,EX-2023-01747824-GDEMZA-DPA#SAYOT y EX 2018-00415346-GDEMZA-DPA#SAYOT  ,PETROLERA EL TREBOL S.A. (ex GRECOIL Y CIA S.R.L.),30-70503777-5,2613480500,p.diaz@phoenixgr.com; pgr.mdz.notificaciones@phoenixgr.com; flavibonet@gmail.com ,"Edificio Ceibo, piso 8, Chacras Park",Chacras de Coria,Lujan de Cuyo,ÁREA TUPUNGATO REFUGIO -CERRILLOS S/N. SAN JOSÉ,Tupungato,Tupungato,IN SITU,Biorremediación ,"Y8, Y9, ,Y11, Y48"
O - 000073,EX 2018-00415419-GDEMZA-DPA#SAYOT  (Expte. N° 1545/D/15/03834),PLUSPETROL S.A.,30-67822401-0,0261-4258663,comunicacionesambientales-arg@pluspetrol.net; patricialopez@pluspetrol.net; sdals@pluspetrol.net,Sobremonte 728,Ciudad de Mendoza,Ciudad de Mendoza,"Ruta Provincial 180 S/N, El Corcovo",Agua Escondida,Malargüe,IN SITU,Reinyección de lodos en formación profunda,Y9
O - 000074,EX 2018-00253262-GDEMZA-DPA#SAYOT  ,RECICLARG RECYCLING TECHNOLOGY S.A.,30-71147333-1,4219497-155122926,info@reciclarg.com; faridnallim@reciclarg.com,López de Gomara 921,Villa Nueva,Guaymallern ,López de Gomara 921,Villa Nueva,Guaymallern ,FIJO,"Reciclado, Reaondicionamiento y Venta de elementos electrónicos","Y12, Y48 (Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31, Y35, Y37)"
O - 000076,EX 2018-00273851-GDEMZA-DPA#SAYOT ,GT INGENIERIA S.A.,30-70822853-9,0261-3709210,mario.cuello@gtarg.com; armando.albin@gtarg.com,San Martín sur 222,Godoy Cruz,Godoy Cruz,,,,IN SITU,"Extracción de Vapores del Suelo, Extracción de Dos Fases por Vacio, Bombeo Dual de Aguas Subterraneas con Recuperacion de Producto Libre","Y8, Y9"
O - 000077,EX-2025-01956800-GDEMZA-DPA#SAYOT y asociado Nº  EX-2019-05392193-GDEMZA-DPA#SAYOT,SQA S.A.,30-70971362-7,261-643-0191,gmorgani@sqasa.com.ar,Victoria 523,Villanueva,Guaymallen ,,,,IN SITU,Biorremediación mediante Biopilas y Separación bifásica,"Y9, Y48"
O - 000078,EX 2018-00556334-GDEMZA-DPA#SAYOT ,ANDDES ARGENTINA S.A.,30-71422823-0,0261 4563199,info.argentina@anddes.com;  paola.torres@gmail.com; mariano.nanclares@anddes.com; silverio.prota@anddes.com,Vicente Gil 330,Ciudad,Ciudad,,,,IN SITU,Extracción en Fase Doble (Dual-Phase  Extracción-DPE) y Extracción de Vapor en el Suelo (Soil Vapor Extracción-SVE),Y8/Y9
O - 000079,EX-2019-01154240- -GDEMZA-DPA#SAYOT y asociado EX-2018-00279690,SOLUCIONES AMBIENTALES PATAGONIA SA (ex Crexell Soluciones Ambientales SA),30-71488764-1,0299 4413880,epiavicoli@gmail.com; elizabeth.vazquez@sapatagonia.com,Santos Vega 4977,Chacras de Coria,Lujan de Cuyo,,,,IN SITU,Desorción Térmica y Biorremediación mediante Biopilas,"Y8, Y9, Y48"
O - 000080,EX-2024-02260239-GDEMZA-DPA#SAYOT y asoc. EX-2017-00196200-GDEMZA-DPA#SAYOT,AMBIENTAL MENDOZA S.A.,30-71144900-7,2612728039,robertobellene@gmail.com; vbravomellado@gmail.com,Larrea 926,Chacras de Coria,Lujan de Cuyo,San Francisco del Monte 3729,Coquimbito,Maipú,FIJO,"Acopio y almacenamiento temporario de residuos peligrosos, Lavado de envases y piezas metálicas y plásticas contaminadas, Filtrado y separación física, Decantación y oxidación química en reactor tanque agitado con incorporación de sistemas filtrantes 
",Y8-Y9-Y11-Y12-Y16-Y18-Y29-Y31-Y34-Y35-Y48
O - 000081,EX-2017-00259624-GDEMZA-DPA#SAYOT,TRONCOSO FEDERICO,20-24882046-3,2613019521,federico.t.barbero@gmail.com,"CerroMirador 487, Barrio Dalvian",Challao,Las Heras,,,,IN SITU,Termodestruccion mediante Horno Incinerador Pirolíto rotativo movil de múltiples cámaras,"Y8, Y11, Y18, Y48"
O - 000082,EX 2018-00680362-GDEMZA-DPA#SAYOT,RESTEC ARGENTINA S.A.,30-70803437-8,011-43012008,lc@restec.com.ar; rn@restec.com.ar; administracion@restec.com.ar,"km 14, Acceso Sur",Lujan de Cuyo,Lujan de Cuyo,Velez Sarfield 1585,Ciudad de Buenos Aires,Ciudad de Buenos Aires,IN SITU,"Remediación de suelo contaminado mediante el tratamiento con zeolitas, Retiro total de suelo o agua y Neutralización mediante álcalis o ácidos.","Y8, Y9, Y11, Y34, Y35 e Y48"
O - 000083,EX 2018-03037840-GDEMZA-DPA#SAYOT,CONTRINI HNOS. SRL,30-68225261-4,2615014390,administracion@contrinihnos.com.ar; fsottano@contrinihnos.com.ar,Tacuari 951,Godoy Cruz,Godoy Cruz,"Ruta 20, km 20,5",Malagueño,"Santa Maria, Cordoba",IN SITU,"Limpieza y Extracción de Tanques Subterráneos, Biorremediación mediante Biopilas y Descontaminación de Asbestos","Y6, Y8, Y9, Y36, Y48"
O-000085,EX-2018-03970360- -GDEMZA-DPA#SAYOT ,COMPAÑÍA TSB S.A.,30-70781092-7,2994413105,mrodriguez@tsbsa.com.ar; degonzalez@tsbsa.com.ar,"Ruta 40, km 22",Perdriel ,Lujan de Cuyo,Luis Huergo 3450 ,Capital,Neuquen,IN SITU,Borremediación mediante biopilas aireadas mecánicamente,"Y9, Y48"
O-000086,EX 2019-00201082-GDEMZA-DPA#SAYOT,DICON MEDIOAMBIENTAL S.R.L.,30-71458792-3,2616566276,"info@diconmedioambiental.com; r.gomezperalta@diconmedioambiental.com; afrotellini@gmail.com
",Rufino Ortega 425,Ciudad,Mendoza,Capitan Ramon Freire 1567-5-B,Ciudad de Buenos Aires,Ciudad de Buenos Aires,IN SITU,Descontaminación de Asbestos,"Y36, Y48"
O-000087,EX-2019-05821115- -GDEMZA-DPA#SAYOT,BORG ARGENTINA S.A.,30-67817276-2,1160894700,info@borgargentina.com.ar; gruszczyk@borgargentina.com.ar; diego.castro@borgargentina.com.ar,San Martín Sur 389,Godoy Cruz,Godoy Cruz,Gral. Juan Domingo Perón,Tigre,Provincia de Buenos Aires,IN SITU,"Manipulación de Asbestos; Remediación de Sitios Contaminados; Limpiezas Industriales de Tanques, Piletas, Reactores y Otros Recipientes; y Deshidratación y Centrifugación de Lodos","Y4, Y6, Y8, Y9, Y11, Y12, Y17, Y18, Y21, Y22, Y23, Y24, Y25, Y26, Y27, Y29, Y31, Y33, Y34, Y35, Y36, Y37, Y39, Y41, Y42 e Y48"
O-000088,EX-2019-06520734- -GDEMZA-DPA#SAYOT,IBS CORDOBA S.A. (Operador Fijo),30-70337051-5,2613447838,sdegan@ibscordoba.com.ar; sdelfino@ibscordoba.com.ar,25 de Mayo 1601,Maipú,Maipú,"Calle 4, PIP",LUJAN DE CUYO,LUJAN DE CUYO,FIJO,"Desorción Térmica, Biorremediación, Acopio y Lavado","Y4, Y5, Y6, Y7, Y8, Y9, Y11, Y12, Y13, Y14, Y16, Y17, Y18, Y20, Y21, Y22, Y23, Y24, Y25, Y26, Y27, Y29, Y30, Y31, Y32, Y33, Y34, Y35, Y36, Y37, Y38, Y39, Y40, Y41, Y42 e Y48"
O-000091,EX-2020-04667401-GDEMZA-DPA#SAYOT,RESERVORIOS INTEGRADOS MENDOZA S.A.,33-71154607-9,02634 340421,diegogarciamza@yahoo.com.ar; enriquerubio1011@gmail.com,San Isidro Norte  Nº 3651 ,Rivadavia,Rivadavia,Calle Continuación S Oratorio s/n ,Los Huarpes,Rivadavia,FIJO,Biorremediación mediante Landfarming,"Y8, Y9, Y48"
O-000094,EX-2021-03901183- -GDEMZA-DPA#SAYOT,ENVIROTECH ARGENTINA S.R.L.,30-70779684-3,2614859823,gabriel.vautier@gmail.com; gonzalomdavila@gmail.com,Montevideo 230,Ciudad,Ciudad,Montevideo 230,Ciudad,Ciudad,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9, Y11 e Y48"
O-000095,EX-2021-04590668- -GDEMZA-DPA#SAYOT,REC OIL S.A.,30-71677412-7,2615898699,mcraia@recoilsa.com.ar; recoilsa2020@gmail.com; ricardofuentes2027@gmail.com,Cerro Santa Elena s/n,Perdriel,Lujan de Cuyo,Cerro Santa Elena s/n,Perdriel,Lujan de Cuyo,FIJO,"Destilacion, Acopio Transitorio de tierras contaminadas y Acopio transitorio de residuos peligrosos","Y8, Y9, Y11, Y12, Y29, Y31 e Y48 "
O-000096,EX-2021-04590776- -GDEMZA-DPA#SAYOT,CONEVIAL CONSTRUCTORA E INVERSORA S.A. ,30-69319923-5,2996204964,alejandro.bibiloni@conevial.com; acaballero@conevial.com,"Ruta 143, km 12,5",Capitán Montoya,San Rafael,Florida 537 Piso 25,CABA,CABA,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9 e Y48"
O-000098,EX-2021-06256645- -GDEMZA-DPA#SAYOT,BATERIAS BORGIA S.A.,30-71250073-1,2615055691,pborgia@bateriasborgia.com; LICCALEGARI@FIRSTSAFETY.COM.AR; administracion@firstsafety.com.ar,Mariano Boedo 505,Carrodilla,Lujan de Cuyo,Lote E-4,Parque Industrial Municipal,Luján de Cuyo,FIJO,Reciclado de baterías usadas de Plomo y Ácido; Uso de aceites usados como combustible,"Y8, Y31 e Y34"
O-000100,EX-2022-06184576- -GDEMZA-DPA#SAYOT,ACONCAGUA ENERGIA SERVICIOS S.A.,30-71620690-0,2615073428,ngorrono@aconcaguaenergia.com; jlbustamante@aconcaguaenergia.com; nancybarrera@biosconsultores.com.ar,Pasaje Carabelas 241,CABA,CABA,Kilómetro 51,Anchoris,Luján de Cuyo,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9 e Y48"
O-000101,EX-2022-07514056- -GDEMZA-DPA#SAYOT,CONSTRUMIN S.R.L.,30-70748677-1,2617000879,nelcymiranda@construmin.com.ar; andresmartin@construmin.com.ar,Pasaje Dummint s/n - PIM,Perdriel,Lujan de Cuyo,Pasaje Dummint s/n - PIM,Perdriel,Lujan de Cuyo,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9, Y11 e Y48"
O-000102,EX-2023-03731856- -GDEMZA-DPA#SAYOT,NRS INGENIERIA S.R.L.,30-71681604-0,2613641434,gerencia@clypeo.com; adm.clypeo@gmail.com,Rodriguez Peña 2163,General Gutierrez,Maipú,Rodriguez Peña 2163,General Gutierrez,Maipú,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9 e Y48"
O-000103,EX-2023-05127546- -GDEMZA-DPA#SAYOT,SMICA S.A.,30-71809158-2,92984744714,gaston@thebsas.com,San Lorenzo 630,Ciudad,Ciudad,Av. Trabajadores de la Industria 2850,Neuquen,Neuquen,IN SITU,Biorremediación mediante Biopilas,Y9 e Y48
O-000104,EX-2023-05238802-GDEMZA-DPA#SAYOT,JUNIN PUNTO LIMPIO S.A.U.,30-71730334-9,2634333484,juninpuntolimpio2022@gmail.com,Pergamino 1730,Los Barriales,Junín,Pergamino 1730,Los Barriales,Junín,FIJO,Acopio Transitorio y Destrucción de lámparas con Equipo Móvil,Y29 e Y48
O-000105,EX-2024-01520036- -GDEMZA-DPA#SAYOT,AMBIENTAL MENDOZA S.A.,30-71144900-7,2612728039,vbravomellado@gmail.com; robertobellene@gmail.com,Larrea 926,Chacras de Coria,Lujan de Cuyo,,,,IN SITU,"Limpiezas industriales de tanques, reactores y otros recipientes (incluyendo extracción de sólidos y semisólidos contaminados) y Remediación de derrames y vuelcos de residuos peligrosos en empresas y en la vía pública","Y8, Y9, Y18 e Y48"
O-000106,EX-2024-02608765- -GDEMZA-DPA#SAYOT,ASOCIACION CIVIL TRAPEROS DE EMAUS MENDOZA,30-71037284-1,2615154970,traperitomendocino@yahoo.com.ar; mrmg1473@hotmail.com,Uspallata y Las Violetas,El Challao,Las Heras,Uspallata y Las Violetas,El Challao,Las Heras,FIJO,Desarmado y reutilización de elementos electrónicos,"Y12, Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31, Y48"
O-000107,EX-2024-02608771- -GDEMZA-DPA#SAYOT,COINCE (Consorcio Publico Intermunicipal de Residuos Sólidos de la Zona Centro) ,30-70899703-6,2616835665,residuos.coince@gmail.com; renzoruedaocchipinti@gmail.com; eespinozadc@gmail.com; gustavopoletto@hotmail.com,Ruta 40 Terminal Ómnibus Local 12 ,Eugenio Bustos,San Carlos,Camino Ganadero s/n,Capiz,San Carlos,FIJO,Desarmado manual de componentes y disposición final en Relleno de Seguridad,"Y12, Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31, Y35, Y48"
O-000108,EX-2024-05497173- -GDEMZA-DPA#SAYOT,MILICIC S.A.,30-62231778-4,3414095600,alejandra.cinfuentes@milicic.com.ar; milicic@milicic.com.ar,"Barrio Aguaribay, casa F4",Chacras de Coria,Lujan de Cuyo,Avenida Presidente Perón 8110,Rosario,Santa Fe,IN SITU,Biorremediación mediante Biopilas,"Y8, Y9, Y48"
O-000109,EX-2025-08743076- -GDEMZA-DGFA#SAYOT,TRANS BOX S.R.L.,30-63857243-1,2613617692,walter.yunk@transbox.com.ar; vizcaino.virginia@transbox.com.ar,Zapiola 218,Dorrego,Guaymallén,Aguado 2100,Neuquen,Neuquen,IN SITU,Lavado de residuos ,"Y8, Y9, Y48"
